name	symbol	price	24h	7d	market_cap	volume(usd)	volume(coin)	circulating_supply	url
65	Blockstack	STX	$0.383270	17.13%	35.85%	$272,824,735	$24,780,984	64,656,702 STX	711,834,032 STX	https://coinmarketcap.com/currencies/blockstack/historical-data/?start=20100101&end=20210101
66	SwissBorg	CHSB	$0.275824	9.67%	24.13%	$256,430,099	$6,136,331	22,247,279 CHSB	929,687,845 CHSB	https://coinmarketcap.com/currencies/swissborg/historical-data/?start=20100101&end=20210101
67	ICON	ICX	$0.434820	3.05%	5.69%	$251,567,550	$50,645,499	116,474,674 ICX	578,555,823 ICX	https://coinmarketcap.com/currencies/icon/historical-data/?start=20100101&end=20210101
68	Paxos Standard	PAX	$1.00	0.48%	0.71%	$245,496,200	$239,965,639	239,433,654 PAX	244,951,954 PAX	https://coinmarketcap.com/currencies/paxos-standard/historical-data/?start=20100101&end=20210101
69	NEAR Protocol	NEAR	$1.20	14.43%	2.05%	$236,250,594	$32,805,411	27,342,775 NEAR	196,911,019 NEAR	https://coinmarketcap.com/currencies/near-protocol/historical-data/?start=20100101&end=20210101
70	Qtum	QTUM	$2.36	4.82%	9.68%	$230,321,942	$458,314,095	194,031,582 QTUM	97,508,960 QTUM	https://coinmarketcap.com/currencies/qtum/historical-data/?start=20100101&end=20210101
71	Avalanche	AVAX	$2.94	0.97%	5.03%	$225,814,303	$25,405,845	8,656,010 AVAX	76,937,055 AVAX	https://coinmarketcap.com/currencies/avalanche/historical-data/?start=20100101&end=20210101
72	Hedera Hashgraph	HBAR	$0.033369	1.86%	3.81%	$220,338,358	$11,242,552	336,912,292 HBAR	6,603,011,778 HBAR	https://coinmarketcap.com/currencies/hedera-hashgraph/historical-data/?start=20100101&end=20210101
73	Ampleforth	AMPL	$0.979536	4.23%	17.39%	$211,811,510	$9,208,889	9,401,273 AMPL	216,236,479 AMPL	https://coinmarketcap.com/currencies/ampleforth/historical-data/?start=20100101&end=20210101
74	Energy Web Token	EWT	$6.69	7.51%	14.60%	$200,984,449	$1,290,955	193,094 EWT	30,062,138 EWT	https://coinmarketcap.com/currencies/energy-web-token/historical-data/?start=20100101&end=20210101
75	Loopring	LRC	$0.164999	10.40%	1.76%	$198,362,455	$22,754,166	137,904,579 LRC	1,202,201,433 LRC	https://coinmarketcap.com/currencies/loopring/historical-data/?start=20100101&end=20210101
76	Celo	CELO	$1.47	2.75%	4.30%	$183,481,781	$5,402,073	3,663,992 CELO	124,447,717 CELO	https://coinmarketcap.com/currencies/celo/historical-data/?start=20100101&end=20210101
77	Augur	REP	$16.25	3.95%	5.12%	$178,799,360	$12,661,897	778,979 REP	11,000,000 REP	https://coinmarketcap.com/currencies/augur/historical-data/?start=20100101&end=20210101
78	Reserve Rights	RSR	$0.018485	9.83%	2.32%	$172,832,840	$80,550,318	4,357,652,117 RSR	9,349,999,000 RSR	https://coinmarketcap.com/currencies/reserve-rights/historical-data/?start=20100101&end=20210101
79	Kyber Network	KNC	$0.850786	2.30%	2.07%	$170,881,472	$44,740,135	52,586,813 KNC	200,851,249 KNC	https://coinmarketcap.com/currencies/kyber-network/historical-data/?start=20100101&end=20210101
80	ABBC Coin	ABBC	$0.201635	7.00%	15.32%	$169,587,499	$31,762,605	157,525,519 ABBC	841,063,225 ABBC	https://coinmarketcap.com/currencies/abbc-coin/historical-data/?start=20100101&end=20210101
81	THORChain	RUNE	$1.03	18.56%	12.59%	$163,166,921	$18,520,175	17,982,750 RUNE	158,432,088 RUNE	https://coinmarketcap.com/currencies/thorchain/historical-data/?start=20100101&end=20210101
82	TerraUSD	UST	$0.996808	0.09%	0.17%	$163,257,807	$23,248,173	23,322,609 UST	163,780,527 UST	https://coinmarketcap.com/currencies/terrausd/historical-data/?start=20100101&end=20210101
83	Siacoin	SC	$0.003528	2.85%	2.55%	$159,569,014	$7,257,841	2,057,147,008 SC	45,227,902,992 SC	https://coinmarketcap.com/currencies/siacoin/historical-data/?start=20100101&end=20210101
84	Bitcoin Gold	BTG	$8.95	0.14%	3.14%	$156,669,440	$14,544,919	1,625,962 BTG	17,513,924 BTG	https://coinmarketcap.com/currencies/bitcoin-gold/historical-data/?start=20100101&end=20210101
85	Lisk	LSK	$1.22	1.54%	2.95%	$154,377,138	$5,085,401	4,176,285 LSK	126,779,179 LSK	https://coinmarketcap.com/currencies/lisk/historical-data/?start=20100101&end=20210101
86	HedgeTrade	HEDG	$0.451783	10.24%	7.55%	$153,258,973	$238,970	528,949 HEDG	339,231,468 HEDG	https://coinmarketcap.com/currencies/hedgetrade/historical-data/?start=20100101&end=20210101
87	MaidSafeCoin	MAID	$0.341614	2.98%	8.33%	$154,598,257	$789,067	2,309,820 MAID	452,552,412 MAID	https://coinmarketcap.com/currencies/maidsafecoin/historical-data/?start=20100101&end=20210101
88	Ocean Protocol	OCEAN	$0.359575	15.85%	1.74%	$150,671,634	$33,557,905	93,326,542 OCEAN	419,026,837 OCEAN	https://coinmarketcap.com/currencies/ocean-protocol/historical-data/?start=20100101&end=20210101
89	HUSD	HUSD	$1.00	0.23%	0.02%	$143,849,656	$62,930,151	62,898,479 HUSD	143,777,260 HUSD	https://coinmarketcap.com/currencies/husd/historical-data/?start=20100101&end=20210101
90	Nano	NANO	$1.08	3.08%	4.81%	$143,526,688	$13,142,610	12,201,427 NANO	133,248,297 NANO	https://coinmarketcap.com/currencies/nano/historical-data/?start=20100101&end=20210101
91	Quant	QNT	$11.89	4.75%	4.04%	$143,584,482	$1,718,997	144,535 QNT	12,072,738 QNT	https://coinmarketcap.com/currencies/quant/historical-data/?start=20100101&end=20210101
92	Chiliz	CHZ	$0.024955	11.95%	36.09%	$135,494,946	$157,931,220	6,328,707,610 CHZ	5,429,628,749 CHZ	https://coinmarketcap.com/currencies/chiliz/historical-data/?start=20100101&end=20210101
93	CyberVein	CVT	$0.128214	6.54%	10.51%	$135,959,084	$11,334,388	88,401,862 CVT	1,060,404,496 CVT	https://coinmarketcap.com/currencies/cybervein/historical-data/?start=20100101&end=20210101
94	Horizen	ZEN	$12.55	1.74%	16.05%	$132,892,940	$11,528,854	918,863 ZEN	10,591,719 ZEN	https://coinmarketcap.com/currencies/horizen/historical-data/?start=20100101&end=20210101
95	Theta Fuel	TFUEL	$0.026476	14.88%	77.92%	$131,389,121	$25,626,879	967,939,836 TFUEL	4,962,631,792 TFUEL	https://coinmarketcap.com/currencies/theta-fuel/historical-data/?start=20100101&end=20210101
96	Verge	XVG	$0.007872	5.40%	10.18%	$129,181,108	$4,731,908	601,107,401 XVG	16,410,234,543 XVG	https://coinmarketcap.com/currencies/verge/historical-data/?start=20100101&end=20210101
97	Bancor	BNT	$1.32	4.17%	5.48%	$124,470,038	$32,808,235	24,920,474 BNT	94,544,935 BNT	https://coinmarketcap.com/currencies/bancor/historical-data/?start=20100101&end=20210101
98	Aragon	ANT	$3.06	6.16%	7.48%	$121,169,789	$17,421,450	5,694,945 ANT	39,609,523 ANT	https://coinmarketcap.com/currencies/aragon/historical-data/?start=20100101&end=20210101
99	ZB Token	ZB	$0.260839	0.63%	1.59%	$120,843,848	$12,900,226	49,456,638 ZB	463,288,810 ZB	https://coinmarketcap.com/currencies/zb-token/historical-data/?start=20100101&end=20210101
100	Decentraland	MANA	$0.081319	0.66%	2.62%	$120,659,806	$25,276,786	310,833,251 MANA	1,483,775,648 MANA	https://coinmarketcap.com/currencies/decentraland/historical-data/?start=20100101&end=20210101
101	Enjin Coin	ENJ	$0.141794	2.56%	2.29%	$116,715,189	$12,681,614	89,436,707 ENJ	823,130,411 ENJ	https://coinmarketcap.com/currencies/enjin-coin/historical-data/?start=20100101&end=20210101
102	Band Protocol	BAND	$5.68	9.36%	8.66%	$116,438,218	$97,284,545	17,122,837 BAND	20,494,033 BAND	https://coinmarketcap.com/currencies/band-protocol/historical-data/?start=20100101&end=20210101
103	Gnosis	GNO	$75.42	11.49%	13.87%	$113,469,701	$637,342	8,451 GNO	1,504,589 GNO	https://coinmarketcap.com/currencies/gnosis-gno/historical-data/?start=20100101&end=20210101
104	Status	SNT	$0.031617	1.61%	5.49%	$109,727,728	$11,064,584	349,952,208 SNT	3,470,483,788 SNT	https://coinmarketcap.com/currencies/status/historical-data/?start=20100101&end=20210101
105	NXM	NXM	$18.56	2.69%	2.10%	$107,651,264	$10,073,483	542,862 NXM	5,801,350 NXM	https://coinmarketcap.com/currencies/nxm/historical-data/?start=20100101&end=20210101
106	Numeraire	NMR	$23.97	2.79%	9.70%	$107,029,382	$11,048,848	461,000 NMR	4,465,670 NMR	https://coinmarketcap.com/currencies/numeraire/historical-data/?start=20100101&end=20210101
107	Ravencoin	RVN	$0.013566	2.15%	1.21%	$105,633,765	$10,040,760	740,162,410 RVN	7,786,875,000 RVN	https://coinmarketcap.com/currencies/ravencoin/historical-data/?start=20100101&end=20210101
108	RSK Infrastructure Framework	RIF	$0.152657	4.89%	15.40%	$103,459,616	$414,783	2,717,096 RIF	677,726,677 RIF	https://coinmarketcap.com/currencies/rsk-infrastructure-framework/historical-data/?start=20100101&end=20210101
109	Holo	HOT	$0.000595	0.15%	3.41%	$99,516,886	$9,739,720	16,368,705,578 HOT	167,249,427,985 HOT	https://coinmarketcap.com/currencies/holo/historical-data/?start=20100101&end=20210101
110	Balancer	BAL	$13.58	10.84%	11.59%	$94,272,753	$76,722,988	5,651,171 BAL	6,943,831 BAL	https://coinmarketcap.com/currencies/balancer/historical-data/?start=20100101&end=20210101
111	Matic Network	MATIC	$0.019266	4.48%	4.95%	$92,444,761	$17,760,121	921,860,756 MATIC	4,798,458,112 MATIC	https://coinmarketcap.com/currencies/matic-network/historical-data/?start=20100101&end=20210101
